                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7239,                 1.4287,                 1.4137,                0.58775,                0.34637,                0.39215,                 0.1682,                  2.128,                 1.5575,                 1.2262,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.7248,                 1.4339,                 1.4138,                0.53092,                0.39525,                0.39431,                0.17036,                 2.0749,                 1.6505,                 1.2206,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.7076,                 1.4152,                 1.4117,                0.55909,                0.35754,                0.37482,                0.16472,                 2.0445,                 1.8488,                 1.2201,               0.000614,               0.000614,               0.000614
                     37,                 1.7166,                 1.4019,                 1.4011,                0.54193,                0.40922,                0.41252,                0.17821,                  2.091,                 1.5639,                 1.2256,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.7014,                  1.384,                 1.3881,                0.49121,                0.41341,                0.39986,                0.17114,                  2.124,                 1.5865,                 1.2282,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.7001,                 1.3688,                 1.4002,                0.62969,                0.37989,                0.43434,                0.18396,                  2.064,                 1.5518,                 1.1902,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.6971,                 1.3576,                 1.3901,                0.63881,                0.32123,                0.40278,                0.18042,                 2.1198,                 1.5407,                 1.2401,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.7025,                 1.3404,                 1.4226,                0.52387,                  0.398,                0.40829,                0.17847,                 2.0858,                 1.5418,                 1.2071,               0.000416,               0.000416,               0.000416
                     42,                 1.6897,                 1.3135,                 1.4172,                0.56423,                 0.3906,                0.41426,                0.18007,                 2.0709,                 1.5295,                 1.2083,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.6631,                 1.2894,                 1.4049,                0.59852,                0.40503,                0.44042,                0.18767,                 2.0846,                 1.5412,                 1.2052,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.6568,                  1.277,                 1.4042,                0.56159,                0.37709,                0.40701,                0.17512,                 2.0895,                 1.5669,                 1.2223,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.6495,                 1.2477,                 1.3955,                0.59834,                0.36173,                0.41341,                 0.1802,                 2.0569,                 1.5391,                 1.2122,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.6362,                 1.2428,                 1.3807,                0.61331,                0.37709,                0.42448,                0.17941,                  2.063,                 1.5473,                 1.2089,               0.000218,               0.000218,               0.000218
                     47,                 1.6334,                 1.2232,                 1.3873,                 0.5369,                0.39671,                0.42171,                0.18002,                 2.0926,                 1.5271,                 1.2154,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.6212,                 1.2074,                 1.3736,                0.57082,                0.41899,                0.44386,                 0.1939,                 2.0291,                 1.5146,                 1.1973,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.6197,                 1.1898,                 1.3732,                0.58257,                0.40922,                0.44503,                0.18947,                 2.0513,                  1.501,                 1.2071,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.6003,                 1.1842,                 1.3682,                0.55104,                0.39246,                0.41841,                0.18154,                 2.0687,                 1.5146,                  1.215,               5.96e-05,               5.96e-05,               5.96e-05
