                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8245,                 1.5037,                 1.3606,                0.37268,                 0.2486,                0.21809,                 0.0799,                 2.3596,                 2.1104,                  1.124,               0.006634,               0.006634,               0.006634
                     36,                 1.8105,                   1.48,                 1.3537,                0.36843,                0.23546,                0.22407,                0.08147,                 2.3279,                 2.0009,                 1.1293,               0.006535,               0.006535,               0.006535
                     37,                 1.8028,                 1.4807,                 1.3469,                0.50052,                0.27095,                0.26888,                0.10102,                 2.4105,                 1.8738,                 1.1853,               0.006436,               0.006436,               0.006436
                     38,                 1.7942,                 1.4546,                 1.3401,                0.38448,                0.22508,                0.21215,                0.07819,                 2.4137,                  2.135,                 1.1807,               0.006337,               0.006337,               0.006337
                     39,                 1.7954,                  1.456,                 1.3472,                0.39716,                0.28352,                0.26174,                0.09509,                 2.4242,                 1.8873,                 1.1717,               0.006238,               0.006238,               0.006238
                     40,                  1.781,                 1.4483,                  1.336,                0.37276,                0.23324,                 0.2018,                0.07324,                 2.4627,                 1.9614,                  1.255,               0.006139,               0.006139,               0.006139
                     41,                  1.793,                   1.45,                 1.3405,                0.46751,                0.28352,                0.28231,                0.11168,                  2.305,                 1.8038,                 1.1587,                0.00604,                0.00604,                0.00604
                     42,                 1.7757,                 1.4272,                 1.3295,                0.40853,                0.28771,                0.26939,                0.10202,                 2.3761,                 1.7995,                 1.1726,               0.005941,               0.005941,               0.005941
                     43,                 1.7709,                 1.4233,                 1.3257,                0.42594,                 0.2514,                0.24645,                0.09079,                  2.337,                 2.0183,                 1.1545,               0.005842,               0.005842,               0.005842
                     44,                 1.7702,                 1.4179,                 1.3242,                0.43964,                0.27095,                0.25409,                  0.094,                 2.3602,                 1.8302,                 1.1968,               0.005743,               0.005743,               0.005743
                     45,                 1.7412,                 1.3812,                 1.3142,                0.38546,                0.25978,                0.23799,                0.08912,                 2.3786,                   1.87,                  1.183,               0.005644,               0.005644,               0.005644
                     46,                 1.7635,                 1.4025,                 1.3223,                0.46472,                0.23883,                0.23637,                0.08776,                  2.437,                 1.8984,                 1.2001,               0.005545,               0.005545,               0.005545
                     47,                 1.7417,                 1.3794,                 1.3114,                0.49181,                0.30168,                0.29863,                0.12229,                 2.2526,                 1.7562,                 1.1377,               0.005446,               0.005446,               0.005446
                     48,                 1.7475,                 1.3692,                 1.3096,                0.56133,                0.25698,                0.29238,                0.12642,                 2.2564,                 1.8454,                 1.1607,               0.005347,               0.005347,               0.005347
                     49,                 1.7404,                 1.3658,                 1.3042,                0.41778,                0.27514,                0.25567,                0.09599,                  2.283,                 1.9696,                 1.1374,               0.005248,               0.005248,               0.005248
                     50,                 1.7378,                 1.3536,                 1.3096,                0.42912,                0.22992,                0.22381,                0.09129,                 2.3849,                 1.9642,                 1.1999,               0.005149,               0.005149,               0.005149
                     51,                 1.7238,                 1.3393,                 1.3044,                0.38261,                0.26257,                0.23231,                0.08832,                  2.388,                 1.8889,                 1.2019,                0.00505,                0.00505,                0.00505
