                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7137,                 1.4131,                 1.4092,                0.54274,                0.32682,                0.35519,                0.15163,                  2.153,                 1.6894,                 1.2635,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.7086,                 1.3935,                 1.4074,                0.49384,                0.35056,                0.36252,                0.15266,                 2.1884,                 1.6578,                 1.2671,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.7082,                 1.3954,                 1.4123,                0.56963,                0.34569,                 0.3597,                0.14447,                 2.2616,                 1.6804,                 1.3082,               0.000614,               0.000614,               0.000614
                     37,                 1.6955,                 1.3632,                 1.3904,                0.49206,                0.35335,                0.35907,                0.15154,                 2.2407,                 1.7171,                 1.3022,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.6993,                  1.364,                 1.3951,                0.50336,                0.35615,                0.36077,                0.14916,                 2.2073,                 1.6876,                 1.2878,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.6907,                   1.36,                  1.394,                0.56577,                0.37122,                0.40274,                0.17223,                 2.1371,                 1.6679,                 1.2518,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.6675,                   1.33,                 1.3804,                0.51435,                0.33659,                0.34495,                0.14952,                 2.2324,                 1.7935,                 1.3145,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.6956,                 1.3326,                 1.4218,                0.48793,                0.35266,                0.34817,                0.14089,                 2.2625,                 1.7257,                 1.3108,               0.000416,               0.000416,               0.000416
                     42,                 1.6887,                 1.3147,                 1.4219,                0.55095,                0.35754,                 0.3801,                0.16684,                 2.0952,                 1.6788,                 1.2274,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.6675,                 1.2746,                 1.4067,                0.56031,                0.38268,                0.39965,                0.16788,                 2.1326,                 1.5881,                 1.2431,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.6586,                 1.2539,                 1.4007,                0.56239,                0.35898,                0.38955,                0.16979,                 2.0669,                 1.7327,                 1.2156,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.6435,                 1.2302,                 1.3944,                0.57764,                0.35894,                0.38556,                0.15789,                 2.2032,                 1.6701,                 1.2681,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.6354,                 1.2178,                 1.3843,                0.58309,                0.37011,                0.38901,                0.16548,                 2.1737,                 1.6468,                 1.2431,               0.000218,               0.000218,               0.000218
                     47,                  1.624,                 1.2052,                 1.3797,                0.56771,                0.39435,                0.41726,                0.17872,                 2.1212,                 1.6078,                 1.2381,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.6106,                 1.1782,                 1.3718,                0.53648,                 0.3743,                0.38963,                0.16585,                 2.1599,                 1.6432,                 1.2489,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.6024,                 1.1636,                 1.3628,                0.55519,                0.37151,                0.39652,                0.16978,                 2.1521,                 1.6151,                 1.2419,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.5882,                 1.1559,                 1.3509,                0.56725,                0.39385,                  0.413,                0.17845,                 2.1248,                 1.5936,                 1.2351,               5.96e-05,               5.96e-05,               5.96e-05
